Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
21874851,Large-Scale Scrum: More with LeSS (Addison-Wesley Signature Series (Cohn)),Craig Larman,"Larman, Craig",Bas Vodde,"=""0321985710""","=""9780321985712""",5,Addison-Wesley Professional,Paperback,368,2016,2014,,2026/02/21,"agile, collaboration, collaboration-techniques, organizational","agile (#18), collaboration (#7), collaboration-techniques (#9), organizational (#11)",read,,,,1,0
5247677,Scaling Lean & Agile Development: Thinking and Organizational Tools for Large-Scale Scrum,Craig Larman,"Larman, Craig",Bas Vodde,"=""0321480961""","=""9780321480965""",5,Addison-Wesley Professional,Paperback,368,2008,2008,,2019/04/13,"non-technical, agile","non-technical (#81), agile (#3)",read,,,,1,0
39853212,"Work Together Anywhere: A Handbook on Working Remotely—Successfully—for Individuals, Teams, and Managers",Lisette Sutherland,"Sutherland, Lisette",Kirsten Janene-Nelson,"=""9082854112""","=""9789082854114""",5,Collaboration Superpowers,Kindle Edition,510,2018,2018,,2020/03/19,"currently-reading, non-technical, remote-work","currently-reading (#7), non-technical (#42), remote-work (#1)",currently-reading,,,,1,0
58129,Head First Servlets and JSP: Passing the Sun Certified Web Component Developer Exam,Bryan Basham,"Basham, Bryan","Kathy Sierra, Bert Bates","=""0596005407""","=""9780596005405""",5,CreateSpace Independent Publishing Platform,Paperback,854,2004,2004,,2020/12/31,technical,technical (#5),read,,,,1,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",5,Simon & Schuster,Hardcover,335,2018,2018,2022/03/30,2021/08/05,"non-technical, thinking","non-technical (#23), thinking (#6)",read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",5,Random House,Hardcover,528,2024,2024,2025/02/03,2024/12/15,non-technical,non-technical (#100),read,,,,1,0
29939161,Radical Candor: Be a Kickass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250103509""","=""9781250103505""",0,St. Martin's Press,Hardcover,336,2017,2017,,2025/10/10,to-read,to-read (#15),to-read,,,,0,0
41571759,Conscious: A Brief Guide to the Fundamental Mystery of the Mind,Annaka Harris,"Harris, Annaka",,"=""0062906712""","=""9780062906717""",4,Harper,Hardcover,144,2019,2019,,2025/08/02,"non-technical, our-brain, thinking","non-technical (#101), our-brain (#4), thinking (#7)",read,,,,1,0
25235192,Waarom vuilnismannen meer verdienen dan bankiers,Rutger Bregman,"Bregman, Rutger",Jesse Frederik,"=""""","=""9789047706830""",0,De Correspondent,ebook,104,2015,2015,,2025/03/15,to-read,to-read (#14),to-read,,,,2,0
221646348,Lights On: How Understanding Consciousness Helps Us Understand the Universe,Annaka Harris,"Harris, Annaka","Jay Shapiro, Susan Blackmore, Sean Carroll, Daniel Chamovitz, David Eagleman, Sascha Fink, Adam Frank, Philip Goff, Joseph Goldstein, Brian Greene, Donald Hoffman, Patrick House, Christof Koch, Janna Levin, George Musser, Zoë Schlanger, Anil Seth, Lee Smolin, Sara Imari Walker","=""""","=""""",4,Macmillan Audio,Audible Audio,,2025,,,2025/08/02,to-read,to-read (#13),to-read,,,,0,0
647492,Ordinary Men: Reserve Police Battalion 101 and the Final Solution in Poland,Christopher R. Browning,"Browning, Christopher R.",,"=""0060995068""","=""9780060995065""",0,Harper Perennial,Paperback,271,1998,1992,,2025/03/15,to-read,to-read (#12),to-read,,,,0,0
45995328,De meeste mensen deugen: Een nieuwe geschiedenis van de mens,Rutger Bregman,"Bregman, Rutger",,"=""9082942186""","=""9789082942187""",5,De Correspondent,Paperback,523,2019,2019,,2023/09/03,"non-technical, change","non-technical (#72), change (#8)",read,super good book!!,,,1,0
197734404,The Scrum Anti-Patterns Guide: Challenges Every Scrum Team Faces and How to Overcome Them (The Professional Scrum Series),Stefan Wolpers,"Wolpers, Stefan",,"=""0137977964""","=""9780137977963""",5,Addison-Wesley Professional,Paperback,416,2024,,2023/11/28,2023/11/27,"non-technical, agile, collaboration","non-technical (#99), agile (#17), collaboration (#6)",read,,,,1,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,Vintage,Paperback,272,1995,1983,,2023/12/01,to-read,to-read (#11),to-read,,,,0,0
5675339,Training From the Back of the Room!: 65 Ways to Step Aside and Let Them Learn,Sharon L. Bowman,"Bowman, Sharon L.",,"=""0787996629""","=""9780787996628""",4,Pfeiffer,Paperback,320,2008,2008,2023/10/24,2019/04/13,"non-technical, communication, collaboration-techniques","non-technical (#33), communication (#11), collaboration-techniques (#8)",read,,,,1,0
9732967,"Bikablo 2.0: Neue Bilder für Meeting, Training & Learning",Holger Scholz,"Scholz, Holger",,"=""3940315052""","=""9783940315052""",5,Neuland,Spiral-bound,135,2009,2009,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#51), collaboration-techniques (#7)",read,,,,1,0
9732972,Bikablo: Das Trainerwörterbuch Der Bildsprache = Facilitators Dictionary Of Visual Language,Martin Haußmann,"Haußmann, Martin",,"=""3940315001""","=""9783940315007""",5,Example Product Manufacturer,Spiral-bound,132,2006,2006,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#50), collaboration-techniques (#5)",read,,,,1,0
27273546,bikablo emotions Visuelles Wortebuch Visual Dictionary,Martin Haußmann,"Haußmann, Martin",,"=""""","=""""",5,Neuland,Unknown Binding,83,2015,,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#49), collaboration-techniques (#6)",read,,,,1,0
22713395,UZMO - Denken mit dem Stift Visuell präsentieren dokumentieren und,Martin Haußmann,"Haußmann, Martin",,"=""3868815171""","=""9783868815177""",5,Redline Verlag,Paperback,304,2014,2014,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#47), collaboration-techniques (#4)",read,,,,1,0
1055446,Innovation Games: Creating Breakthrough Products Through Collaborative Play,Luke Hohmann,"Hohmann, Luke",,"=""0321437292""","=""9780321437297""",5,Addison-Wesley Professional,Paperback,192,2006,2006,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#44), collaboration-techniques (#1)",read,,,,1,1
21373993,"Gamestorming A Playbook For Innovators, Rulebreakers, And Changemakers",Dave  Gray,"Gray, Dave","Sunni Brown, James Macanufo","=""""","=""8580001054612""",5,O'Reilly Media,Paperback,286,2010,2010,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#43), collaboration-techniques (#3)",read,,,,1,0
16084015,Impact Mapping: Making a Big Impact with Software Products and Projects,Gojko Adzic,"Adzic, Gojko",,"=""0955683645""","=""9780955683640""",5,Neuri Limited,Paperback,93,2012,2012,,2019/04/13,"non-technical, collaboration-techniques","non-technical (#45), collaboration-techniques (#2)",read,,,,1,1
17316682,Remote: Office Not Required,David Heinemeier Hansson,"Hansson, David Heinemeier","Jason Fried, Rebecca Lowman","=""0804148996""","=""9780804148993""",0,Random House Audio,Audiobook,256,2013,2013,,2020/03/19,"currently-reading, non-technical, remote-work","currently-reading (#6), non-technical (#41), remote-work (#2)",currently-reading,,,,1,0
2251306,"Brain Rules: 12 Principles for Surviving and Thriving at Work, Home, and School (Book & DVD)",John Medina,"Medina, John",,"=""0979777704""","=""9780979777707""",5,Pear Press,Hardcover,301,2008,2008,,2019/04/13,"non-technical, our-brain","non-technical (#38), our-brain (#2)",read,,,,1,1
6899290,"Your Brain at Work: Strategies for Overcoming Distraction, Regaining Focus, and Working Smarter All Day Long",David Rock,"Rock, David",,"=""0061771295""","=""9780061771293""",5,Harper Business,Hardcover,246,2009,2009,,2019/04/13,"non-technical, our-brain","non-technical (#39), our-brain (#3)",read,,,,1,1
29213663,You Are Not What You Think,David Richo,"Richo, David",Tom Pile,"=""1522642870""","=""9781522642879""",5,Audible Studios on Brilliance Audio,MP3 CD,,2016,2015,,2019/04/13,"non-technical, thinking, our-brain","non-technical (#37), thinking (#1), our-brain (#1)",read,,,,1,1
12975375,The Advantage: Why Organizational Health Trumps Everything Else In Business (J-B Lencioni Series),Patrick Lencioni,"Lencioni, Patrick",,"=""0470941529""","=""9780470941522""",5,Jossey-Bass,Hardcover,216,2012,2012,,2019/04/13,"non-technical, leadership, organizational","non-technical (#16), leadership (#7), organizational (#10)",read,,,,1,1
255127,The Fifth Discipline: The Art & Practice of The Learning Organization,Peter M. Senge,"Senge, Peter M.",,"=""0385517254""","=""9780385517256""",5,Doubleday,Paperback,445,2006,1990,,2019/04/13,"non-technical, leadership, organizational","non-technical (#12), leadership (#11), organizational (#9)",read,,,,1,0
13530973,Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400067820""","=""9781400067824""",0,Random House,Hardcover,426,2012,2012,,2019/04/13,"currently-reading, non-technical, organizational","currently-reading (#3), non-technical (#62), organizational (#6)",currently-reading,,,,1,0
18079689,Social Physics: How Good Ideas Spread— The Lessons from a New Science,Alex Pentland,"Pentland, Alex",,"=""1594205655""","=""9781594205651""",5,Penguin Press,Hardcover,320,2014,2014,,2019/06/26,"non-technical, organizational","non-technical (#55), organizational (#8)",read,,,,1,0
37316795,Reinventing organizations: geillustreerde versie (Dutch Edition),Frederic Laloux,"Laloux, Frederic",David Grabijn,"=""9401438633""","=""9789401438636""",5,Lannoo Campus,Kindle Edition,333,2016,,,2019/04/13,"currently-reading, non-technical, organizational","currently-reading (#4), non-technical (#58), organizational (#7)",currently-reading,,,,1,0
206309,Fish: A Proven Way to Boost Morale and Improve Results,Stephen C. Lundin,"Lundin, Stephen C.","Harry Paul, John Christensen, Ken Blanchard","=""0786866020""","=""9780786866021""",5,Hyperion,Hardcover,112,2000,1996,,2019/04/13,"non-technical, organizational","non-technical (#56), organizational (#4)",read,,,,1,1
3336275,Fish! Tales - Real-Life Stories to Help You Transform Your Workplace and Your Life,Stephen C. Lunden,"Lunden, Stephen C.","Harry Paul, John Christensen","=""1401396844""","=""9781401396848""",5,Hyperion Books,Unbound,0,2002,2002,,2019/04/13,"non-technical, organizational","non-technical (#57), organizational (#5)",read,,,,1,0
21807644,Organize for Complexity: How to Get Life Back Into Work to Build the High-Performance Organization (Betacodex Publishing),Niels Pflaeging,"Pflaeging, Niels",Pia Steinmann,"=""0991537602""","=""9780991537600""",5,Betacodex Press,Paperback,142,2014,2014,,2019/04/13,"non-technical, organizational","non-technical (#61), organizational (#2)",read,,,,1,1
23526564,Holacracy: The New Management System for a Rapidly Changing World,Brian J. Robertson,"Robertson, Brian J.",,"=""162779428X""","=""9781627794282""",5,Henry Holt and Co.,Hardcover,240,2015,2015,,2019/04/13,"non-technical, organizational","non-technical (#59), organizational (#3)",read,,,,1,1
42379754,Sociocratie 3.0 - De businessnovelle die het beste uit mens en organisatie haalt,Jef Cumps,"Cumps, Jef",,"=""9401454248""","=""9789401454247""",0,LannooCampus,Paperback,240,2018,,,2019/04/13,"to-read, non-technical, organizational","to-read (#1), non-technical (#60), organizational (#1)",to-read,,,,0,0
728055,Spiral Dynamics Integral: Learn to Master the Memetic Codes of Human Behavior,Don Edward Beck,"Beck, Don Edward",,"=""1591794250""","=""9781591794257""",5,Sounds True,Audio CD,16,2006,2006,,2019/04/13,"non-technical, change, thinking","non-technical (#73), change (#3), thinking (#4)",read,,,,1,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,"=""1603580557""","=""9781603580557""",4,Chelsea Green Publishing,Paperback,218,2008,2008,,2019/04/13,"non-technical, thinking","non-technical (#65), thinking (#5)",read,,,,1,0
19026481,An Introductory Guide to Systems Thinking,David Kerr,"Kerr, David",,"=""""","=""""",5,eBookIt.com,Kindle Edition,36,2012,2012,,2019/04/13,"non-technical, thinking","non-technical (#66), thinking (#3)",read,,,,1,1
42635721,Op denkles: hoe wapenen we ons tegen 'Iedereen heeft zijn eigen waarheid' en andere modieuze denkbeelden (Dutch Edition),Sebastien Valkenberg,"Valkenberg, Sebastien",,"=""9026330847""","=""9789026330841""",0,Ambo|Anthos,Kindle Edition,222,2015,2015,,2019/04/13,"currently-reading, non-technical, thinking","currently-reading (#1), non-technical (#25), thinking (#2)",currently-reading,,,,1,0
6570502,Switch: How to Change Things When Change Is Hard,Chip Heath,"Heath, Chip",Dan Heath,"=""0385528752""","=""9780385528757""",5,Crown Currency,Hardcover,305,2010,2010,2019/12/01,2019/10/29,"non-technical, change","non-technical (#75), change (#6)",read,,,,1,0
36592650,Mentaliserend Coachen,René Meijer,"Meijer, René",,"=""9024404045""","=""9789024404049""",0,Uitgeverij BOom,Paperback,152,2016,,,2020/05/28,"to-read, non-technical, change","to-read (#9), non-technical (#76), change (#7)",to-read,,,,0,0
419461,Our Iceberg Is Melting,John P. Kotter,"Kotter, John P.","Holger Rathgeber, Spencer Johnson, Peter Mueller","=""031236198X""","=""9780312361983""",0,St. Martin's Press,Hardcover,160,2006,2005,,2019/04/13,"to-read, non-technical, change","to-read (#4), non-technical (#70), change (#1)",to-read,,,,0,0
6452796,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"Pink, Daniel H.",,"=""1594488843""","=""9781594488849""",5,Riverhead Books,Hardcover,242,2009,2009,,2019/09/03,"non-technical, change","non-technical (#69), change (#5)",read,,,,1,0
13561217,How to Change the World: Change Management 3.0,Jurgen Appelo,"Appelo, Jurgen",,"=""""","=""""",5,Jojo Ventures BV,ebook,87,2012,2012,,2019/04/13,"non-technical, change","non-technical (#74), change (#4)",read,,,,1,0
18406657,Accelerate: Building Strategic Agility for a Faster-Moving World,John P. Kotter,"Kotter, John P.",,"=""1625271743""","=""9781625271747""",5,Harvard Business Review Press,Hardcover,224,2014,2012,,2019/04/13,"non-technical, change","non-technical (#71), change (#2)",read,,,,1,0
113086,Agile Project Management with Scrum (Developer Best Practices),Ken Schwaber,"Schwaber, Ken",,"=""073561993X""","=""9780735619937""",5,Microsoft Press,Paperback,192,2004,,,2019/04/13,"non-technical, agile","non-technical (#78), agile (#12)",read,,,,1,1
10210821,"Management 3.0: Leading Agile Developers, Developing Agile Leaders",Jurgen Appelo,"Appelo, Jurgen",,"=""0321718992""","=""9780321718990""",5,Addison-Wesley Professional,Kindle Edition,621,2010,2010,,2019/04/13,"non-technical, agile","non-technical (#86), agile (#13)",read,,,,1,1
17060202,This Is Lean: Resolving the Efficiency Paradox,Niklas Modig,"Modig, Niklas",,"=""919803930X""","=""9789198039306""",0,Rheologica Publishing,Paperback,172,2012,2011,,2020/05/28,"to-read, non-technical, agile","to-read (#10), non-technical (#67), agile (#16)",to-read,,,,0,0
25056958,Hyper-Productive Knowledge Work Performance: The TameFlow Approach and Its Application to Scrum and Kanban (The Tameflow Hyper-productivity),Steve Tendon,"Tendon, Steve",Wolfram Muller,"=""160427106X""","=""9781604271065""",0,J. Ross Publishing,Hardcover,368,2014,2015,,2019/04/13,"to-read, non-technical, agile","to-read (#6), non-technical (#77), agile (#15)",to-read,,,,0,0
35747076,Accelerate: Building and Scaling High Performing Technology Organizations,Nicole Forsgren,"Forsgren, Nicole","Jez Humble, Gene Kim","=""1942788339""","=""9781942788331""",5,IT Revolution,Paperback,288,2018,,,2019/04/13,"non-technical, agile","non-technical (#64), agile (#14)",read,,,,1,1
9267,Agile Estimating and Planning (Robert C. Martin Series),Mike Cohn,"Cohn, Mike","Jim Highsmith, Gabrielle Benefield","=""0131479415""","=""9780131479418""",5,Pearson,Paperback,368,2005,2005,,2019/04/13,"non-technical, agile","non-technical (#85), agile (#10)",read,,,,1,1
5341009,Agile Testing: A Practical Guide for Testers and Agile Teams,Lisa Crispin,"Crispin, Lisa",Janet Gregory,"=""0321534468""","=""9780321534460""",5,Addison-Wesley Professional,Paperback,533,2009,2008,,2019/04/13,"non-technical, agile","non-technical (#83), agile (#9)",read,,,,1,1
6707989,"Practices for Scaling Lean & Agile Development: Large, Multisite, and Offshore Product Development with Large-Scale Scrum",Craig Larman,"Larman, Craig",Bas Vodde,"=""0321636406""","=""9780321636409""",5,Addison-Wesley Professional,Paperback,624,2010,2010,,2019/04/13,"non-technical, agile","non-technical (#82), agile (#6)",read,,,,1,1
7950745,Agile Product Management with Scrum: Creating Products That Customers Love,Roman Pichler,"Pichler, Roman",,"=""0321605780""","=""9780321605788""",5,Addison-Wesley Professional,Paperback,160,2010,2008,,2019/04/13,"non-technical, agile","non-technical (#80), agile (#7)",read,,,,1,1
8086552,Kanban: Successful Evolutionary Change for Your Technology Business,David J. Anderson,"Anderson, David J.",,"=""0984521402""","=""9780984521401""",5,Blue Hole Press,Paperback,262,2010,2010,,2019/04/13,"non-technical, agile","non-technical (#87), agile (#8)",read,,,,1,1
13078769,Running Lean: Iterate from Plan A to a Plan That Works (Lean Series),Ash Maurya,"Maurya, Ash",,"=""1449305172""","=""9781449305178""",0,O'Reilly Media,Hardcover,235,2012,2012,,2019/04/13,"to-read, non-technical, agile","to-read (#3), non-technical (#68), agile (#11)",to-read,,,,0,0
3856,User Stories Applied: For Agile Software Development (Addison-Wesley Signature Series (Beck)),Mike Cohn,"Cohn, Mike",Kent Beck,"=""0321205685""","=""9780321205681""",5,Addison-Wesley Professional,Paperback,296,2004,2004,,2019/04/13,"non-technical, agile","non-technical (#84), agile (#4)",read,,,,1,1
